N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
173,DGB금융지주,"8,220",40,+0.49%,"5,000","13,904","169,146",48.29,"301,979",4.18,6.93,
174,SK네트웍스,"5,570",60,-1.07%,"2,500","13,824","248,188",12.11,"796,721",40.07,1.63,
175,롯데관광개발,"19,950",900,+4.72%,500,"13,820","69,276",4.62,"1,043,479",-16.86,-30.43,
176,KODEX 2차전지산업,"18,055",135,-0.74%,0,"13,397","74,200",0.00,"903,088",N/A,N/A,
177,KODEX 종합채권(AA-이상)액티브,"108,500",5,0.00%,0,"13,217","12,182",0.00,"6,525",N/A,N/A,
178,DL,"85,000",200,+0.24%,"5,000","13,125","15,441",24.06,"108,657",6.50,11.84,
179,한국콜마,"56,600",500,+0.89%,500,"12,951","22,881",29.03,"115,824",8.08,29.27,
180,LG전자우,"74,100","1,700",+2.35%,"5,000","12,735","17,186",40.00,"223,608",6.81,N/A,
181,롯데리츠,"5,230",10,+0.19%,500,"12,707","242,969",9.70,"382,122",60.11,1.83,
182,JB금융지주,"6,430",70,+1.10%,"5,000","12,666","196,983",40.27,"221,487",3.49,10.06,
183,KBSTAR 200,"43,305",80,+0.19%,0,"12,537","28,950",0.00,"75,963",N/A,N/A,
184,다우기술,"27,900",850,+3.14%,500,"12,518","44,867",22.36,"915,702",4.54,18.85,
185,롯데칠성,"138,500","1,500",+1.09%,500,"12,431","8,975",10.46,"30,606",-99.14,-1.00,
186,더블유게임즈,"67,100","1,300",-1.90%,500,"12,329","18,375",12.76,"98,815",10.95,16.94,
187,동원시스템즈,"48,000",600,-1.23%,"5,000","12,297","25,619",1.46,"32,181",24.13,10.97,
188,솔루엠,"25,000",350,-1.38%,500,"12,273","49,092",0.01,"542,349",25.46,43.26,
189,이노션,"61,300",400,-0.65%,500,"12,260","20,000",30.39,"34,385",19.31,8.28,
190,TIGER 단기통안채,"100,150",5,0.00%,0,"12,247","12,229",0.96,"11,764",N/A,N/A,
191,코스맥스,"120,000",0,0.00%,500,"12,059","10,050",23.76,"93,003",56.42,6.23,
192,한올바이오파마,"22,950",250,-1.08%,500,"11,989","52,241",6.28,"151,522",60.71,12.29,
193,KODEX 인버스,"3,830",5,-0.13%,0,"11,900","310,700",1.58,"28,131,353",N/A,N/A,
194,LG상사,"30,650",800,-2.54%,"5,000","11,880","38,760",26.70,"226,210",3.99,23.72,
195,화승엔터프라이즈,"19,450",200,-1.02%,500,"11,776","60,545",3.53,"182,650",29.38,9.26,
196,KODEX 단기채권PLUS,"103,060",5,0.00%,0,"11,595","11,251",0.00,"258,373",N/A,N/A,
197,에스엘,"24,050",350,+1.48%,500,"11,593","48,203",14.88,"199,767",17.66,4.74,
198,지누스,"79,900",100,-0.12%,500,"11,511","14,407",21.80,"23,700",27.44,11.61,
199,명신산업,"27,600",300,-1.08%,500,"11,255","40,779",1.59,"764,966",N/A,-67.39,
200,SK디스커버리,"58,700","1,200",-2.00%,"5,000","11,175","19,038",10.35,"100,038",4.48,14.71,
